instance,timeLim,opt,totalTime,bestTime,nIter,optIter
airport94,30,0.421053,16.220403,3.523509,4,1
airport9,30,1.315790,10.609543,2.558611,4,1
grid14,30,1.684211,9.495146,3.762989,4,2
airport98,30,1.000000,15.330612,2.024709,4,1
grid15,30,3.421053,11.189124,1.433588,4,1
grid19,30,2.263158,11.819964,1.513143,4,1
grid21,30,2.473683,11.140919,1.164882,4,1
grid18,30,1.789474,13.039196,5.609723,4,2
grid0,30,2.473684,27.468371,3.764872,4,1
metroplex53,30,5.035088,34.989218,34.921364,5,5
metroplex46,30,5.122807,62.579347,20.944759,9,3
grid28,30,3.000000,11.490924,0.705933,4,1
grid2,30,3.631579,15.798385,0.835580,4,1
grid27,30,3.368421,21.064440,8.961170,4,2
grid84,30,2.105263,27.824285,2.079208,5,1
metroplex41,30,1.248120,101.653080,12.318401,6,1
grid30,30,3.421053,18.935496,2.575238,4,1
grid22,30,3.122807,30.486345,12.128836,4,2
grid23,30,2.982456,42.076724,0.689550,7,1
metroplex56,30,3.724311,8.646923,4.197021,4,2
metroplex51,30,3.268170,68.368155,33.600602,7,3
grid44,30,1.947368,54.667837,4.541768,5,1
grid26,30,2.263158,32.924889,1.056047,7,1
grid11,30,2.105263,40.221766,3.585737,5,1
grid24,30,1.631579,42.054762,4.781823,4,1
metroplex3,30,1.789474,102.941911,48.588558,6,2
metroplex59,30,3.105263,4.674727,0.987514,4,1
grid94,30,1.684211,108.481249,3.420298,8,1
grid13,30,1.368421,32.187907,4.052627,5,1
grid29,30,2.210526,44.062753,22.245993,4,2
metroplex57,30,3.050125,10.026108,4.749142,5,2
grid34,30,2.473684,16.203421,5.857160,4,2
grid32,30,1.578947,27.935458,1.686473,6,1
grid38,30,1.947368,8.385920,0.957806,4,1
grid10,30,1.315789,72.879643,6.463816,6,1
metroplex64,30,9.005013,13.285337,9.943289,4,3
metroplex5,30,6.285714,16.726448,7.351378,4,2
metroplex61,30,2.786967,13.229992,6.169178,4,2
metroplex65,30,3.210526,7.755962,3.864520,4,2
grid31,30,2.157895,44.607242,1.298115,6,1
grid35,30,0.684211,32.305193,1.767783,4,1
metroplex69,30,3.631579,10.004974,2.269900,4,1
grid12,30,1.631579,62.241270,3.435486,6,1
metroplex58,30,2.830968,36.995849,23.559198,4,2
metroplex72,30,2.052632,9.099079,4.453737,4,2
grid33,30,2.157895,37.963044,4.516809,4,1
grid25,30,2.315789,27.263602,0.849192,10,1
grid37,30,3.315789,28.037968,1.447093,4,1
grid16,30,2.578947,159.112059,3.274403,11,1
metroplex68,30,4.365391,14.390420,1.719656,5,1
metroplex63,30,2.258145,42.525449,23.388613,5,2
metroplex73,30,2.744361,12.140859,12.079486,4,4
metroplex74,30,2.649123,6.993837,3.236138,4,2
grid47,30,3.210526,10.664413,1.718430,4,1
grid39,30,2.526316,41.411294,21.609359,4,2
metroplex10,30,2.842105,76.437627,10.167136,6,1
grid48,30,1.631579,16.235720,1.280374,4,1
grid42,30,2.804511,44.738116,3.454535,5,1
metroplex71,30,2.546366,28.028829,14.531102,4,2
grid4,30,2.578946,13.329402,1.398695,4,1
metroplex75,30,3.421053,24.106979,16.017546,5,3
metroplex81,30,4.268170,14.008811,8.055593,4,2
grid3,30,0.947368,32.878118,4.222959,4,1
grid45,30,2.631579,37.631505,2.341269,5,1
grid49,30,1.000000,21.474046,8.283013,4,2
grid56,30,2.157895,9.258821,1.069032,4,1
metroplex80,30,3.368421,23.300209,19.313625,4,3
metroplex7,30,1.668367,26.247598,14.068990,4,2
grid1,30,1.157895,38.170652,27.296696,4,3
grid59,30,1.842105,10.488071,1.137005,4,1
grid50,30,2.210526,29.405736,13.852066,4,2
metroplex66,30,4.699248,99.634832,16.541784,5,1
grid55,30,2.315789,22.188896,1.575486,5,1
metroplex62,30,2.473684,66.580772,12.449490,5,1
metroplex84,30,2.894737,15.729615,10.137700,4,2
metroplex88,30,3.882206,16.925376,8.614942,4,2
grid46,30,1.368421,85.271408,1.313490,9,1
grid52,30,3.052632,54.698313,2.815274,7,1
grid57,30,2.736842,18.774841,2.038012,4,1
metroplex89,30,1.724311,16.651088,9.769163,4,2
grid17,30,2.421053,49.093099,35.341835,4,3
metroplex8,30,3.105263,10.855985,5.213348,4,2
metroplex54,30,2.619048,208.711245,15.111302,8,1
grid58,30,2.368421,35.945329,4.362039,4,1
grid9,30,1.789474,45.762650,1.702918,7,1
metroplex92,30,2.152227,9.287986,4.920802,4,2
grid5,30,3.526316,27.343045,27.256235,4,4
grid64,30,1.842105,15.181331,2.026520,4,1
grid65,30,3.045113,11.723584,1.201590,4,1
grid60,30,2.263158,17.679246,6.777217,4,2
metroplex97,30,1.263158,5.394978,0.832704,4,1
grid62,30,2.000000,29.937842,2.430609,5,1
metroplex42,30,164.421053,218.355790,51.704274,7,3
metroplex93,30,3.734336,17.307747,5.271481,4,1
metroplex83,30,2.701492,49.855171,35.587126,5,3
metroplex95,30,2.473684,13.829784,7.573173,4,2
grid67,30,2.368421,9.703257,1.138161,4,1
metroplex99,30,4.523810,11.242269,6.228392,4,2
grid63,30,1.859649,42.216122,17.848259,4,2
grid69,30,3.052632,19.127379,1.156713,6,1
grid71,30,2.052632,57.257236,5.047247,5,1
metroplex9,30,3.345359,20.569966,14.630427,4,2
grid74,30,3.105263,14.464267,2.700785,4,1
grid20,30,2.368421,12.125315,5.649744,4,2
grid70,30,3.473684,27.525638,1.379919,4,1
metroplex98,30,2.894737,39.569260,22.262865,5,2
grid73,30,2.736842,22.664033,1.607391,4,1
grid66,30,2.631579,40.752710,40.642953,4,4
grid53,30,2.795322,62.795138,4.490386,5,1
metroplex91,30,74.428275,91.159897,50.232016,6,4
grid72,30,3.064777,27.700603,1.722234,6,1
metroplex94,30,4.984962,48.160151,38.684007,4,3
grid75,30,2.368421,38.189492,5.224673,4,1
grid78,30,2.210526,23.781473,3.088492,4,1
metroplex90,30,2.972431,70.318561,11.245744,5,1
metroplex55,30,2.947368,44.137677,27.414967,4,2
grid80,30,2.410526,27.800103,11.454863,4,2
grid76,30,1.906433,58.578706,0.859423,9,1
grid61,30,1.684211,58.215482,4.701288,5,1
grid82,30,2.421053,30.484565,1.794328,5,1
grid88,30,2.000000,24.549707,2.263316,4,1
grid89,30,2.368421,15.435545,3.389461,4,1
grid86,30,1.789474,31.953919,12.980411,4,2
grid81,30,2.052632,62.119383,2.587598,9,1
grid7,30,2.052632,62.851083,6.404384,5,1
grid8,30,2.684211,34.578952,1.737538,6,1
grid85,30,1.257310,68.512508,2.890611,6,1
grid91,30,2.921053,15.547288,7.030983,4,2
grid92,30,3.105263,16.523660,2.178734,4,1
grid6,30,2.000000,24.809338,3.547878,4,1
grid97,30,2.000000,8.412389,3.243427,4,2
grid83,30,0.947368,93.967321,5.402305,7,1
grid96,30,1.894737,12.502713,1.124799,4,1
grid95,30,3.105263,14.789780,2.074629,4,1
grid99,30,2.842105,16.904162,1.356379,5,1
metroplex86,30,153.604905,258.532992,178.008260,7,5
grid77,30,3.684211,161.153290,2.677026,11,1
grid93,30,1.947368,51.282945,2.972877,6,1
metroplex13,30,3.353383,8.674296,3.748593,4,2
metroplex14,30,1.421053,6.950202,1.223195,4,1
grid90,30,1.000000,34.928462,14.079047,4,2
metroplex11,30,6.897241,35.802308,16.126105,4,2
grid54,30,0.947368,202.258173,3.583534,12,1
metroplex15,30,2.947368,5.662773,1.325597,4,1
grid36,30,1.951417,42.206412,4.579164,5,1
metroplex12,30,3.951286,37.982562,21.883920,4,2
metroplex16,30,3.005013,14.292090,14.221019,4,4
metroplex18,30,5.456140,22.840966,19.070844,6,5
grid87,30,2.368421,20.155775,1.134763,5,1
metroplex21,30,1.684211,4.916163,2.451079,4,2
grid44,30,1.947368,49.496829,4.450439,5,1
metroplex1,30,3.557756,21.535193,13.535354,4,2
metroplex20,30,1.789474,22.544831,13.610576,4,2
metroplex17,30,3.273191,23.540928,2.397692,5,1
metroplex25,30,2.421053,8.915816,1.618286,9,2
metroplex26,30,3.508772,6.801149,2.879147,4,2
metroplex22,30,2.145363,18.511083,7.193145,4,2
metroplex27,30,2.182957,9.690789,5.193670,4,2
metroplex28,30,2.052632,5.324919,2.997521,4,2
metroplex2,30,5.012531,11.992165,6.171900,4,2
metroplex34,30,3.610526,9.512164,4.474007,5,3
metroplex24,30,4.187970,33.576634,18.140600,4,2
metroplex0,30,2.315789,56.585614,4.478435,9,1
metroplex23,30,2.052632,40.111479,29.367301,8,5
grid98,30,1.736842,34.405154,3.705362,4,1
metroplex29,30,2.105263,30.998686,7.742688,4,1
metroplex82,30,137.656642,276.960437,76.857508,8,3
metroplex33,30,1.789473,28.436995,1.777662,6,1
metroplex38,30,2.947368,8.632441,4.999611,6,3
metroplex31,30,1.736842,18.910434,3.080695,5,1
metroplex10,30,2.842105,63.494375,8.587487,6,1
metroplex40,30,2.340852,10.486062,8.816911,6,5
grid84,30,2.105263,23.902068,1.081774,5,1
metroplex43,30,3.684211,6.031763,5.982915,4,4
metroplex30,30,3.518422,48.095856,37.785455,4,3
metroplex45,30,1.982456,12.375851,9.360050,4,3
metroplex44,30,4.774436,15.549967,9.636272,4,2
grid51,30,1.473684,759.744320,3.235212,20,1
metroplex56,30,3.724311,6.596405,3.256924,4,2
metroplex39,30,3.017544,20.288869,2.834212,4,1
metroplex59,30,3.105263,4.122931,0.643248,4,1
metroplex57,30,3.050125,10.354976,4.397466,5,2
metroplex53,30,5.035088,31.002896,30.898995,5,5
metroplex46,30,5.122807,53.468801,17.255572,9,3
metroplex5,30,6.285714,13.261542,5.602944,4,2
metroplex61,30,2.786967,11.236652,5.978850,4,2
metroplex41,30,1.248120,75.457225,11.306884,6,1
metroplex51,30,3.268170,52.850963,25.213564,7,3
grid94,30,1.684211,81.670883,1.978093,8,1
metroplex58,30,2.830968,29.076272,16.899582,4,2
metroplex65,30,3.210526,7.138088,3.833492,4,2
metroplex64,30,9.005013,11.030555,7.752611,4,3
metroplex3,30,1.789474,72.356216,28.782825,6,2
metroplex69,30,3.631579,6.969795,1.875291,4,1
metroplex63,30,2.258145,26.588456,13.632751,5,2
metroplex74,30,2.649123,5.727786,2.254581,4,2
metroplex73,30,2.744361,10.271835,10.232405,4,4
metroplex72,30,2.052632,7.836545,4.533995,4,2
metroplex68,30,4.365391,12.564959,1.281499,5,1
metroplex71,30,2.546366,18.190497,7.708674,4,2
metroplex81,30,4.268170,10.954679,6.714460,4,2
metroplex75,30,3.421053,18.168745,13.354982,5,3
metroplex80,30,3.368421,16.435147,12.548802,4,3
metroplex54,30,2.619048,137.049279,10.467997,8,1
metroplex7,30,1.668367,16.305980,8.336729,4,2
metroplex66,30,4.699248,62.602477,11.663336,5,1
metroplex84,30,2.894737,10.862919,7.151987,4,2
metroplex62,30,2.473684,47.033520,8.015513,5,1
metroplex88,30,3.882206,11.236180,5.084653,4,2
metroplex8,30,3.105263,7.875277,2.923095,4,2
metroplex89,30,1.724311,13.673646,8.343321,4,2
metroplex83,30,2.701492,32.234244,21.583321,5,3
metroplex92,30,2.152227,6.518702,2.640513,4,2
metroplex97,30,1.263158,4.208968,0.452748,4,1
grid79,30,1.157895,624.499465,5.748197,18,1
metroplex93,30,3.734336,12.114749,3.135750,4,1
metroplex95,30,2.473684,8.027371,4.360155,4,2
metroplex99,30,4.523810,6.042524,3.147241,4,2
grid9,30,1.789474,25.580081,1.579803,7,1
metroplex9,30,3.345359,12.188192,8.046184,4,2
metroplex98,30,2.894737,20.690988,10.988685,5,2
metroplex91,30,74.428275,56.501569,32.337184,6,4
metroplex70,30,334.408521,1059.524854,245.394439,21,6
metroplex94,30,4.984962,26.445718,21.275725,4,3
metroplex90,30,2.972431,34.746159,5.303098,5,1
grid71,30,2.052632,27.062862,2.326125,5,1
metroplex55,30,2.947368,23.619440,14.664977,4,2
metroplex42,30,153.616541,256.772362,222.944163,9,8
metroplex86,30,152.552273,281.822870,281.768925,9,9
grid79,30,1.157895,605.170110,2.649402,21,1
metroplex70,30,324.719298,887.919416,170.379157,21,5
metroplex82,30,135.709273,193.988033,50.460299,7,3
