metroplex19nDr0nDe2,30,4.157895,0.483560,0.125424,4,1
metroplex23nDr0nDe2,30,11.130326,0.494337,0.131099,4,1
metroplex14nDr0nDe2,30,5.694236,0.601820,0.096235,4,1
metroplex13nDr0nDe1,30,11.055138,0.601672,0.276757,4,2
metroplex10nDr0nDe2,30,4.944836,0.835733,0.149672,4,1
metroplex17nDr0nDe3,30,40.323308,1.011190,0.647996,5,3
metroplex20nDr0nDe1,30,3.310777,1.407599,0.254679,4,1
airport13nDr0nDe1,30,1.305764,0.730176,0.111521,4,1
metroplex19nDr0nDe3,30,4.220551,1.903663,0.336231,4,1
airport14nDr0nDe2,30,1.518797,0.982668,0.118370,4,1
airport23nDr0nDe2,30,1.466165,1.054533,0.154443,4,1
airport17nDr0nDe3,30,3.822055,0.674531,0.092055,4,1
metroplex17nDr0nDe2,30,4.421053,1.925644,0.325698,4,1
airport20nDr0nDe1,30,3.378446,0.809501,0.131886,4,1
airport19nDr0nDe3,30,1.646617,0.746477,0.122845,4,1
grid14nDr0nDe2,30,2.842105,0.674257,0.124800,4,1
metroplex20nDr0nDe2,30,12.531328,2.335764,0.350264,4,1
metroplex1nDr0nDe3,30,10.112782,2.825166,1.230409,4,2
metroplex27nDr0nDe3,30,9.205514,3.490040,0.519478,4,1
metroplex27nDr0nDe1,30,3.954887,3.473883,1.373899,4,2
grid13nDr0nDe1,30,5.932331,1.730930,1.702489,4,4
airport20nDr0nDe2,30,3.568922,0.935745,0.116788,4,1
metroplex13nDr0nDe2,30,99.756866,5.525109,4.301016,5,4
metroplex13nDr0nDe3,30,7.674185,3.851348,1.770986,4,2
grid17nDr0nDe3,30,7.912281,1.602695,0.172622,4,1
metroplex1nDr0nDe1,30,11.250627,4.275761,2.228043,4,2
grid20nDr0nDe1,30,3.375940,2.008382,0.183384,5,1
metroplex22nDr0nDe3,30,14.957393,4.938459,3.020348,5,3
airport27nDr0nDe1,30,1.075188,0.871093,0.153168,4,1
metroplex0nDr0nDe1,30,3.298246,3.778196,2.768291,4,3
airport17nDr0nDe2,30,1.476190,2.242154,0.182022,4,1
metroplex27nDr0nDe2,30,6.117794,4.760425,1.332416,6,2
airport1nDr0nDe1,30,0.979950,1.173240,0.159124,4,1
airport27nDr0nDe3,30,2.754386,2.543838,0.214518,4,1
airport0nDr0nDe1,30,1.075188,0.940444,0.121940,4,1
metroplex17nDr0nDe1,30,2.904762,5.642760,0.577758,4,1
metroplex12nDr0nDe3,30,11.508772,5.804061,0.263360,7,1
metroplex22nDr0nDe1,30,4.476190,5.796863,2.270099,4,2
metroplex14nDr0nDe3,30,9.300752,6.161979,0.800168,4,1
airport13nDr0nDe2,30,3.832080,2.361708,0.254519,4,1
metroplex12nDr0nDe2,30,8.894737,6.805720,0.500047,6,1
airport17nDr0nDe1,30,1.200501,0.721674,0.116154,4,1
grid17nDr0nDe2,30,6.481203,2.159565,0.274425,4,1
grid19nDr0nDe3,30,7.511278,3.507890,0.369633,5,1
metroplex29nDr0nDe1,30,3.090226,2.495737,1.181217,4,2
airport22nDr0nDe3,30,1.593985,2.826596,0.227540,4,1
metroplex0nDr0nDe2,30,11.822055,8.052773,5.682197,4,3
metroplex18nDr0nDe1,30,5.147870,7.253323,2.835603,4,2
metroplex12nDr0nDe1,30,7.842105,5.662361,0.384594,7,1
grid20nDr0nDe2,30,10.180451,4.410888,0.320381,6,1
metroplex26nDr0nDe1,30,2.488722,4.763315,3.645646,4,3
airport22nDr0nDe1,30,1.270677,2.080981,0.234907,4,1
airport18nDr0nDe1,30,1.548872,0.588646,0.084974,4,1
grid13nDr0nDe2,30,6.686717,1.870619,0.319868,4,1
grid27nDr0nDe1,30,3.769424,2.974607,1.528624,4,2
airport29nDr0nDe1,30,1.295739,1.323728,0.110166,4,1
metroplex22nDr0nDe2,30,4.661654,6.096980,0.531630,5,1
airport19nDr0nDe2,30,2.120301,7.885411,0.520716,4,1
airport22nDr0nDe2,30,1.581454,1.012753,0.146800,4,1
metroplex2nDr0nDe2,30,4.774436,1.435201,0.807332,4,2
grid29nDr0nDe1,30,2.543860,1.387123,0.234221,4,1
airport27nDr0nDe2,30,1.902256,4.462038,0.343747,4,1
metroplex26nDr0nDe2,30,14.857143,9.541266,9.506867,4,4
grid22nDr0nDe1,30,3.466165,2.352417,0.993898,4,2
grid22nDr0nDe3,30,4.969925,3.713324,1.634306,4,2
metroplex29nDr0nDe2,30,4.037594,5.322184,0.415907,5,1
airport1nDr0nDe3,30,2.278195,8.093048,0.547032,4,1
metroplex28nDr0nDe3,30,13.598997,6.529592,0.934855,5,1
airport10nDr0nDe2,30,1.115288,10.196431,0.904003,4,1
airport30nDr0nDe1,30,0.822055,0.575832,0.073038,4,1
airport29nDr0nDe2,30,1.223058,0.833888,0.105112,4,1
airport12nDr0nDe1,30,0.884712,5.153377,0.380464,4,1
airport12nDr0nDe2,30,1.471178,5.311993,0.485523,4,1
metroplex30nDr0nDe2,30,7.155388,1.658843,0.314911,4,1
grid0nDr0nDe1,30,3.498747,7.348437,0.637132,4,1
airport12nDr0nDe3,30,2.157895,7.327587,0.544899,4,1
metroplex26nDr0nDe3,30,6.521303,14.638868,5.696054,4,2
grid17nDr0nDe1,30,3.042607,6.173942,0.446691,5,1
airport30nDr0nDe2,30,1.393484,0.658065,0.084497,4,1
metroplex11nDr0nDe1,30,62.842105,6.417380,2.961650,5,3
airport26nDr0nDe3,30,2.568922,0.705325,0.104111,4,1
grid18nDr0nDe1,30,4.441103,5.820763,2.502671,4,2
