instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
grid32nDr0nDe3,9.546366,0.626828,0.074542,0.701370,74655,3571,6342,6342
metroplex36nDr1nDe1,6.864662,0.434120,0.036591,0.470711,53054,1966,5089,5089
grid30nDr1nDe1,6.110276,1.726017,0.269380,1.995397,209798,7785,15289,15289
grid25nDr0nDe2,3.182957,3.519388,0.691456,4.210844,433076,14837,30814,30814
airport33nDr1nDe0,1.368421,0.181599,0.069646,0.251245,21972,2787,9296,9296
grid33nDr1nDe0,1.315789,0.102466,0.030703,0.133169,8048,928,1384,1384
metroplex36nDr1nDe0,3.052632,1.007327,0.081001,1.088328,122953,3860,11675,11675
airport36nDr1nDe1,1.253133,0.267851,0.073957,0.341808,31169,3294,10851,10851
grid29nDr0nDe3,4.125313,3.779475,0.756557,4.536032,464788,14633,30879,30879
airport35nDr1nDe1,1.305764,0.710097,0.296408,1.006505,87718,8049,31739,31739
metroplex36nDr0nDe1,2.601504,1.514317,0.169665,1.683982,186848,5198,16201,16201
metroplex33nDr0nDe2,5.285714,2.503742,0.346310,2.850052,301396,7824,26516,26516
grid33nDr1nDe1,2.596491,1.552500,0.368477,1.920977,186402,8365,16383,16383
grid32nDr0nDe2,4.809524,1.767497,0.230308,1.997805,223136,8317,16300,16300
metroplex34nDr1nDe1,11.691729,2.300815,0.856967,3.157782,279125,7410,25077,25077
airport33nDr0nDe1,1.443609,0.428320,0.160616,0.588936,51932,4907,17325,17325
grid33nDr0nDe3,15.250627,1.059562,0.463387,1.522949,131945,6168,11684,11684
airport36nDr1nDe0,0.631579,0.306202,0.138622,0.444824,40110,4444,15804,15804
metroplex34nDr1nDe0,2.526316,3.653312,0.879157,4.532469,442925,10279,36777,36777
grid35nDr1nDe1,7.012531,0.587516,0.092766,0.680282,74954,3730,6683,6683
metroplex36nDr0nDe2,4.521303,1.695904,0.234758,1.930662,215251,5953,19034,19034
airport36nDr0nDe1,3.939850,0.450394,0.237705,0.688099,59650,6039,22607,22607
grid33nDr0nDe1,3.255639,0.524472,0.067352,0.591824,65973,3523,6268,6268
grid36nDr1nDe0,2.578947,0.556870,0.096329,0.653199,69984,3556,6413,6413
metroplex34nDr0nDe1,11.087719,4.032712,2.199362,6.232074,465192,10684,38355,38355
grid36nDr1nDe1,4.729323,1.634416,0.250698,1.885114,200174,8335,16362,16362
airport34nDr1nDe1,1.160401,0.366899,0.233368,0.600267,38633,4821,18252,18252
airport33nDr0nDe2,1.889724,0.508873,0.317230,0.826103,66510,6170,22689,22689
airport36nDr0nDe2,1.508772,0.336526,0.130663,0.467189,40084,4416,15764,15764
grid36nDr0nDe1,5.639098,0.672537,0.083296,0.755833,82689,4167,7615,7615
metroplex21nDr0nDe2,21.220551,3.680954,29.824773,33.505727,464382,9985,34359,34359
metroplex35nDr0nDe1,1.343358,3.887163,2.006633,5.893796,474249,10880,37230,37230
metroplex35nDr1nDe0,0.105263,3.953249,2.048439,6.001688,474243,10876,37222,37222
airport34nDr1nDe0,0.526316,0.641544,0.441529,1.083073,84012,7682,29413,29413
metroplex38nDr1nDe0,1.789474,1.825410,0.307624,2.133034,230598,5945,18658,18658
grid25nDr0nDe3,4.278195,3.717389,0.836041,4.553430,433082,14841,30820,30820
metroplex36nDr0nDe3,6.172932,1.703467,0.295583,1.999050,215257,5957,19040,19040
metroplex24nDr0nDe3,19.180451,4.445683,22.354167,26.799850,553064,12815,45864,45864
metroplex34nDr0nDe3,10.375940,3.730977,1.611896,5.342873,465204,10692,38367,38367
metroplex39nDr0nDe1,2.365915,1.740358,0.238817,1.979175,198778,6157,20199,20199
metroplex35nDr0nDe2,5.979950,3.633492,1.456396,5.089888,451438,10391,36014,36014
airport34nDr0nDe1,0.686717,0.626343,0.453827,1.080170,84074,7742,29505,29505
metroplex38nDr0nDe1,10.994987,2.090154,0.692789,2.782943,270456,6750,21855,21855
grid34nDr1nDe1,3.706767,1.568124,0.305648,1.873772,200298,8347,16275,16275
grid33nDr0nDe2,5.654135,1.784768,0.489284,2.274052,228390,9453,18800,18800
airport36nDr0nDe3,2.172932,0.187019,0.051230,0.238249,17653,2214,7069,7069
grid36nDr0nDe2,7.355890,1.589876,0.254813,1.844689,200180,8339,16370,16370
airport38nDr1nDe0,1.105263,0.346315,0.169016,0.515331,46060,4575,16017,16017
metroplex34nDr0nDe2,14.122807,3.292924,1.734043,5.026967,411789,9727,34489,34489
airport39nDr0nDe1,2.035088,0.430320,0.217680,0.648000,56228,5972,22603,22603
metroplex38nDr1nDe1,12.448622,2.152443,0.611685,2.764128,270502,6796,21922,21922
airport21nDr0nDe2,1.238095,0.730900,1.000436,1.731336,96683,8509,32169,32169
airport35nDr0nDe1,0.854637,0.825873,0.689825,1.515698,92170,8433,32770,32770
metroplex39nDr0nDe3,3.634085,1.652849,0.304359,1.957208,198790,6165,20211,20211
airport35nDr1nDe0,0.473684,0.714241,0.421755,1.135996,92164,8429,32762,32762
metroplex37nDr1nDe0,1.263158,4.361899,1.368843,5.730742,538583,13013,47687,47687
airport38nDr0nDe1,1.411028,0.558755,0.264948,0.823703,74138,6164,22118,22118
metroplex39nDr0nDe2,10.330827,1.922180,0.599611,2.521791,228618,6836,22935,22935
metroplex21nDr0nDe3,20.122807,3.397462,7.655268,11.052730,432368,9429,32127,32127
grid38nDr1nDe0,3.052632,1.198653,0.175786,1.374439,150942,5838,11015,11015
metroplex37nDr0nDe1,5.641604,4.499990,3.301289,7.801279,538843,13249,48043,48043
airport34nDr0nDe3,1.258145,0.635744,0.449035,1.084779,84086,7750,29517,29517
metroplex39nDr1nDe0,2.052632,1.300836,0.238673,1.539509,165131,5412,17088,17088
airport38nDr1nDe1,3.020050,0.179852,0.072563,0.252415,23896,2511,7569,7569
grid34nDr1nDe0,2.000000,2.752716,0.383824,3.136540,351190,12955,26537,26537
grid39nDr0nDe1,4.060150,1.158251,0.159617,1.317868,151474,6039,11670,11670
metroplex37nDr1nDe1,1.892231,4.282185,1.135556,5.417741,514694,12609,46165,46165
airport39nDr0nDe3,1.739348,0.142969,0.061175,0.204144,18640,2792,10161,10161
airport35nDr0nDe2,1.142857,0.763345,0.761303,1.524648,92436,8679,33139,33139
airport24nDr0nDe3,1.619048,0.658500,0.939691,1.598191,87529,8227,30900,30900
grid36nDr0nDe3,6.994987,1.681479,0.492465,2.173944,214690,8676,17053,17053
metroplex39nDr1nDe1,2.541353,1.556741,0.412176,1.968917,198778,6157,20197,20197
grid28nDr0nDe3,11.235589,3.278048,1.210360,4.488408,418622,14754,30514,30514
airport34nDr0nDe2,1.591479,0.541485,0.317897,0.859382,71797,7050,27322,27322
airport39nDr1nDe0,1.736842,0.430226,0.179460,0.609686,49420,5291,19651,19651
airport39nDr0nDe2,2.375940,0.475256,0.425341,0.900597,63680,6724,25856,25856
metroplex3nDr0nDe1,4.566416,1.868391,0.331829,2.200220,229415,6061,19025,19025
airport39nDr1nDe1,1.012531,0.295925,0.141084,0.437009,37776,4612,17068,17068
grid38nDr1nDe1,2.709273,1.564015,0.221246,1.785261,195031,7375,14244,14244
metroplex3nDr1nDe0,3.263158,1.011351,0.163156,1.174507,128160,4004,11790,11790
metroplex35nDr0nDe3,12.282320,3.913886,1.948739,5.862625,474161,10802,37113,37113
metroplex3nDr1nDe1,2.471178,0.500724,0.045886,0.546610,60445,2401,6347,6347
grid34nDr0nDe1,12.190476,3.286996,1.286394,4.573390,388329,14087,29208,29208
metroplex3nDr0nDe2,6.674185,1.982745,0.535712,2.518457,244534,6521,20726,20726
metroplex3nDr0nDe3,6.671679,0.922576,0.112918,1.035494,111502,3664,10748,10748
grid39nDr1nDe0,2.736842,0.955480,0.109407,1.064887,123252,5024,9524,9524
airport3nDr0nDe1,1.508772,0.220294,0.064030,0.284324,19852,2542,8281,8281
airport3nDr1nDe1,0.822055,0.126565,0.064453,0.191018,16122,2270,7302,7302
airport3nDr1nDe0,1.368421,0.087401,0.039451,0.126852,10605,1430,4092,4092
airport37nDr1nDe0,1.368421,0.819329,0.335194,1.154523,99476,7319,26339,26339
grid3nDr1nDe0,0.368421,0.007518,0.023264,0.030782,534,184,242,242
grid38nDr0nDe1,6.473684,2.234773,0.652936,2.887709,285296,9889,19830,19830
metroplex40nDr0nDe1,3.989975,0.953524,0.130582,1.084106,117593,3884,11511,11511
airport21nDr0nDe3,1.428571,0.838314,0.965928,1.804242,96689,8513,32175,32175
grid39nDr1nDe1,3.448622,0.709360,0.081646,0.791006,87954,4129,7622,7622
grid39nDr0nDe3,8.243108,1.940275,0.267384,2.207659,238336,8948,17911,17911
grid3nDr0nDe1,4.593985,0.337533,0.042334,0.379867,42036,2376,4105,4105
metroplex37nDr0nDe2,7.889724,4.401275,2.268537,6.669812,538873,13271,48076,48076
grid3nDr1nDe1,5.313283,0.410782,0.047282,0.458064,42036,2376,4103,4103
grid35nDr0nDe1,1.127820,3.339952,0.617506,3.957458,402332,13566,27865,27865
grid21nDr0nDe2,9.436090,3.303005,0.427262,3.730267,413709,13313,27606,27606
grid35nDr1nDe0,0.842105,3.269568,0.661001,3.930569,402326,13562,27857,27857
airport40nDr0nDe1,1.370927,0.122874,0.044966,0.167840,16204,2266,7554,7554
metroplex38nDr0nDe3,21.290727,2.176554,0.922111,3.098665,270468,6758,21867,21867
airport37nDr1nDe1,3.308271,0.803129,0.389218,1.192347,104266,7555,27245,27245
metroplex40nDr1nDe0,1.736842,0.776296,0.110952,0.887248,91850,3219,8967,8967
airport37nDr0nDe1,5.260410,0.808522,1.398274,2.206796,104608,7875,27727,27727
airport3nDr0nDe2,2.092732,0.486995,0.291324,0.778319,63270,6176,23121,23121
airport3nDr0nDe3,1.428571,0.741007,0.632546,1.373553,96107,7905,29009,29009
airport40nDr1nDe0,1.105263,0.108474,0.034698,0.143172,14190,1946,6245,6245
metroplex40nDr0nDe3,11.032581,0.535910,0.135733,0.671643,60797,2360,6274,6274
airport35nDr0nDe3,2.067669,0.263141,0.099012,0.362153,26882,3161,10766,10766
grid39nDr0nDe2,7.624060,1.836965,0.419984,2.256949,238330,8944,17905,17905
metroplex42nDr0nDe1,9.486216,0.576660,0.070061,0.646721,73555,2499,6938,6938
airport40nDr0nDe3,1.631579,0.244169,0.140210,0.384379,31882,3684,12804,12804
airport38nDr0nDe3,1.646617,0.215343,0.134569,0.349912,28974,3123,10167,10167
metroplex40nDr1nDe1,14.052632,1.257159,0.345547,1.602706,152474,4722,14464,14464
grid40nDr0nDe1,10.310777,1.001757,0.175050,1.176807,127924,5752,10897,10897
grid40nDr1nDe0,2.368421,0.874768,0.108545,0.983313,112128,5260,9912,9912
metroplex42nDr1nDe0,3.526316,0.202275,0.019768,0.222043,25069,1168,2846,2846
grid35nDr0nDe2,4.092732,3.228336,1.226198,4.454534,402302,13534,27817,27817
airport42nDr0nDe1,0.937343,0.255852,0.105317,0.361169,34152,3388,10818,10818
airport42nDr1nDe0,1.263158,0.131830,0.032113,0.163943,17439,1884,5508,5508
grid34nDr0nDe2,3.047619,2.789163,0.523943,3.313106,351202,12963,26551,26551
grid3nDr0nDe2,5.147870,1.263609,0.172201,1.435810,150188,6413,12203,12203
grid38nDr0nDe3,5.624060,0.945364,0.093057,1.038421,97068,4208,7617,7617
airport40nDr1nDe1,1.333333,0.423781,0.238743,0.662524,56472,5752,21496,21496
grid37nDr1nDe0,2.210526,2.946075,0.331151,3.277226,343160,12419,25445,25445
grid42nDr1nDe0,2.421053,0.638384,0.074558,0.712942,83345,4147,7453,7453
airport37nDr0nDe2,1.238095,0.788682,0.881914,1.670596,104602,7869,27718,27718
metroplex40nDr0nDe2,18.260652,1.186868,0.627700,1.814568,152480,4726,14472,14472
metroplex42nDr0nDe3,11.020050,0.798406,0.141029,0.939435,97147,3114,8764,8764
metroplex38nDr0nDe2,19.047619,2.506460,1.624466,4.130926,287661,7028,22740,22740
grid3nDr0nDe3,23.842105,1.049227,0.649869,1.699096,133018,5698,10797,10797
grid24nDr0nDe3,5.172932,3.255401,1.496654,4.752055,407813,15177,31283,31283
grid34nDr0nDe3,10.842105,3.130494,1.627066,4.757560,388341,14095,29220,29220
grid42nDr0nDe1,5.002506,1.096232,0.157312,1.253544,138434,6090,11484,11484
grid40nDr0nDe3,18.769424,1.114457,0.573129,1.687586,127936,5760,10909,10909
metroplex41nDr1nDe1,1.997494,2.636034,0.739598,3.375632,310494,8592,29829,29829
metroplex42nDr0nDe2,5.087719,1.612963,0.232573,1.845536,208702,5531,17668,17668
airport42nDr0nDe3,1.804511,0.135680,0.046501,0.182181,17489,1928,5576,5576
metroplex43nDr1nDe1,3.731830,0.424297,0.031108,0.455405,46905,1650,3869,3869
metroplex42nDr1nDe1,5.824561,1.316599,0.292887,1.609486,166621,4669,14373,14373
grid37nDr1nDe1,1.127820,2.921034,0.419070,3.340104,371605,13058,26863,26863
airport40nDr0nDe2,1.791980,0.349834,0.153127,0.502961,37119,3985,13829,13829
airport43nDr1nDe1,0.463659,0.078247,0.047802,0.126049,10220,1858,6512,6512
metroplex43nDr0nDe2,14.373434,0.926150,0.308899,1.235049,120049,3230,8936,8936
metroplex43nDr0nDe3,6.208020,0.363267,0.034668,0.397935,46917,1658,3883,3883
grid21nDr0nDe3,7.516291,2.409371,0.669142,3.078513,310624,11140,22603,22603
metroplex44nDr0nDe1,11.598997,0.621761,0.163252,0.785013,78971,2741,7790,7790
metroplex43nDr1nDe0,2.578947,1.192221,0.111322,1.303543,155514,4022,11833,11833
metroplex44nDr1nDe0,1.631579,0.383501,0.058653,0.442154,50743,1965,5165,5165
grid40nDr1nDe1,9.187970,1.166327,0.542404,1.708731,144967,6280,11968,11968
grid43nDr1nDe1,2.982456,0.408542,0.061767,0.470309,52188,2868,5064,5064
airport42nDr1nDe1,1.754386,0.152406,0.062487,0.214893,19494,2084,6135,6135
metroplex41nDr1nDe0,3.421053,3.828578,1.468045,5.296623,459126,11301,41084,41084
airport38nDr0nDe2,1.523810,0.540291,0.198268,0.738559,49240,4794,16767,16767
airport44nDr1nDe0,1.157895,0.094090,0.036319,0.130409,11970,1330,3360,3360
airport42nDr0nDe2,1.774436,0.221529,0.083396,0.304925,28932,3023,9491,9491
airport44nDr0nDe1,1.443609,0.121876,0.045922,0.167798,15624,1804,5085,5085
airport43nDr0nDe3,2.330827,0.432674,0.187922,0.620596,43540,4733,17545,17545
airport43nDr1nDe0,0.473684,0.031498,0.019644,0.051142,3934,882,2807,2807
metroplex43nDr0nDe1,2.295739,2.440014,0.472747,2.912761,306894,7293,24216,24216
airport43nDr0nDe2,2.235589,0.381339,0.225537,0.606876,49858,5320,20157,20157
grid37nDr0nDe1,1.446115,3.329300,0.982183,4.311483,421322,14075,29056,29056
metroplex37nDr0nDe3,16.786967,4.452259,4.425018,8.877277,538879,13275,48082,48082
grid43nDr1nDe0,3.105263,0.691200,0.073034,0.764234,83633,4056,7516,7516
metroplex41nDr0nDe1,11.483709,3.997832,4.677701,8.675533,492266,12005,43680,43680
grid44nDr1nDe0,2.736842,0.945807,0.097850,1.043657,117462,5031,9351,9351
grid40nDr0nDe2,9.854637,1.146946,0.355558,1.502504,144973,6284,11976,11976
grid44nDr0nDe1,2.245614,1.104801,0.119114,1.223915,139390,5683,10691,10691
