airport77,3.260652,0.636036,1.115194,1.751230,80665,7878,30165,30165,0
airport81,1.105263,0.642578,0.859742,1.502320,81650,9283,32739,32739,0
airport80,1.734336,0.693869,0.928685,1.622554,87292,7110,25154,25154,0
airport73,0.761905,0.918101,0.982865,1.900966,113739,8356,29893,29893,0
airport97,1001.315789,0.567895,0.467125,1.035020,69640,7488,29623,29623,0
airport74,1002.293233,0.892705,1.066309,1.959014,111784,11184,40427,40427,0
airport82,1.681704,0.671585,0.893160,1.564745,83216,7496,27350,27350,0
airport76,1001.681704,0.834149,1.071862,1.906011,98244,10728,39076,39076,0
airport91,1001.473684,0.641177,0.565316,1.206493,79141,7027,26052,26052,0
airport88,3000.000000,0.891518,0.567038,1.458556,107626,11442,42178,42178,0
airport86,1.681704,0.610998,1.029153,1.640151,76560,7278,27734,27734,0
airport85,1000.807018,0.963137,0.934581,1.897718,116794,11550,42998,42998,0
airport99,8001.305764,0.861073,0.518995,1.380068,98500,10622,38987,38987,0
airport95,1.421053,0.768693,0.673799,1.442492,93428,9948,35964,35964,0
airport78,2002.428571,0.808190,1.427267,2.235457,98723,11061,41164,41164,0
airport8,2001.210526,0.973633,0.699590,1.673223,118628,12590,44970,44970,0
airport79,1.681704,0.914259,1.343669,2.257928,97850,9581,38032,38032,0
airport92,1001.776942,0.772257,0.888144,1.660401,94416,10134,36654,36654,0
airport90,1002.015038,0.841399,0.907063,1.748462,102600,10537,38006,38006,0
airport94,1001.263158,0.973586,0.789196,1.762782,109286,8476,31067,31067,0
airport70,1.872180,0.781278,1.887544,2.668822,98253,10065,40349,40349,0
airport98,1.681704,0.722837,0.996986,1.719823,88426,8441,32523,32523,0
airport84,1.157895,1.107050,1.132342,2.239392,100871,13626,47371,47371,0
airport96,1.105263,0.818422,1.116927,1.935349,96801,13103,44654,44654,0
airport87,1.681704,0.713900,1.663104,2.377004,86592,9735,39740,39740,0
airport93,1.105263,1.011717,1.316070,2.327787,119420,14325,49595,49595,0
airport9,2.388471,1.020591,1.925332,2.945923,124301,9926,37344,37344,0
grid10,0.000000,3.594887,0.609157,4.204044,441612,15079,31250,31250,0
grid17,+Inf,3.940333,0.196087,4.136420,475976,23206,49616,49616,0
grid23,+Inf,3.061322,0.239333,3.300655,370424,22121,45467,45467,0
grid11,3.090226,3.584006,1.965186,5.549192,433321,16207,34230,34230,0
grid24,2.699248,3.427461,0.983551,4.411012,407024,15015,31103,31103,0
grid12,1003.791980,3.541274,2.424540,5.965814,432353,14874,30731,30731,0
grid0,2004.864662,3.327146,2.899864,6.227010,416205,13109,27157,27157,0
grid20,2.020050,3.851721,1.497470,5.349191,441706,14900,30713,30713,0
grid36,+Inf,3.644613,0.172116,3.816729,418041,27124,57960,57960,0
grid19,3022.401003,3.853117,3.003523,6.856640,448120,23706,49978,49978,0
grid39,+Inf,4.070384,0.216595,4.286979,452513,36308,78529,78529,0
grid27,12.789474,4.082421,1.829895,5.912316,452839,15111,31463,31463,0
grid30,1002.631579,3.740345,1.603269,5.343614,435412,18214,38646,38646,0
grid1,20.320802,3.717418,3.649538,7.366956,450510,17604,37497,37497,0
grid25,2003.483709,3.714234,2.821591,6.535825,442938,15076,31423,31423,0
grid14,1002.265664,3.324692,4.533840,7.858532,413273,23786,48333,48333,0
grid46,+Inf,3.874423,0.258668,4.133091,427626,24049,50103,50103,0
grid43,2003.328321,3.218242,1.584355,4.802597,373621,13558,28138,28138,0
grid28,6.488722,4.010286,2.459654,6.469940,473278,18052,38309,38309,0
grid3,1017.997494,3.077340,1.981617,5.058957,367191,16746,35258,35258,0
grid33,9.899749,3.475668,2.763174,6.238842,409005,14860,31116,31116,0
grid18,1002.508772,3.475957,5.090997,8.566954,407551,17622,37111,37111,0
grid16,4035.443609,4.100540,5.036715,9.137255,467346,18204,38274,38274,0
grid13,2.872180,3.711349,5.772295,9.483644,447178,18889,40204,40204,0
grid56,3002.263158,3.340624,1.582800,4.923424,397977,16887,35687,35687,0
grid54,1002.957393,3.189164,2.236970,5.426134,376475,19750,41557,41557,0
grid49,2.541353,3.518619,2.590852,6.109471,410164,16626,34834,34834,0
grid51,5.877193,3.419143,2.568658,5.987801,404249,16106,34033,34033,0
grid37,26.335840,3.637298,4.521817,8.159115,433509,16609,35039,35039,0
grid47,5002.543860,3.668789,3.487140,7.155929,430677,24816,51519,51519,0
grid52,10.526316,3.433988,3.112971,6.546959,401514,14064,28895,28895,0
grid40,1.210526,3.755995,4.556144,8.312139,431992,22831,47233,47233,0
grid59,5029.576441,3.525007,2.600100,6.125107,410368,16415,33955,33955,0
grid21,4042.122807,3.554885,7.769011,11.323896,434885,14371,30013,30013,0
grid45,2074.651629,3.949060,4.861054,8.810114,463136,21693,46343,46343,0
grid2,3.388471,3.713035,6.985150,10.698185,440700,15823,32736,32736,0
grid41,1008.208020,3.846355,5.972179,9.818534,455955,19314,41583,41583,0
grid5,26.561404,3.583266,2.056161,5.639427,437104,15562,32855,32855,0
grid26,1008.383459,3.490358,9.997220,13.487578,414181,21282,45238,45238,0
grid48,29.320802,4.271648,7.480637,11.752285,486745,16453,35012,35012,0
grid58,1009.007519,3.989532,6.807209,10.796741,468492,21462,45543,45543,0
grid34,1011.338346,4.093390,10.620474,14.713864,476767,23264,49694,49694,0
grid29,1019.280702,4.036199,12.596221,16.632420,476572,15815,33232,33232,0
grid68,2.360902,3.772804,1.390703,5.163507,432639,14764,30507,30507,0
grid67,2026.393484,3.200656,2.599757,5.800413,371317,14271,29676,29676,0
grid66,8001.817043,4.141609,2.228583,6.370192,487496,17152,36407,36407,0
grid63,4008.012531,3.635898,3.458819,7.094717,418561,17145,35976,35976,0
grid60,34.130326,4.137197,7.289953,11.427150,514970,23053,49270,49270,0
grid64,2.022556,4.090756,3.597077,7.687833,441681,15650,32492,32492,0
grid71,1.000000,4.017064,0.586246,4.603310,441296,14867,31032,31032,0
grid70,7.057644,3.597886,2.931055,6.528941,429354,14907,30767,30767,0
grid72,4003.020050,3.929476,2.213027,6.142503,474919,15083,31578,31578,0
grid76,9001.368421,3.667478,1.951022,5.618500,431120,14368,29827,29827,0
grid6,7003.939850,3.541035,4.456987,7.998022,418478,20208,42461,42461,0
grid81,+Inf,4.339732,0.364760,4.704492,491324,45348,98229,98229,0
grid82,0.759398,3.816399,1.546873,5.363272,444173,16632,35074,35074,0
grid85,6.165414,3.469490,1.798671,5.268161,412282,13812,28637,28637,0
grid74,1022.661654,3.909840,3.350495,7.260335,463488,18744,39701,39701,0
grid62,4019.273183,3.678645,8.468478,12.147123,432339,17116,35814,35814,0
grid8,1.075188,3.625864,1.346536,4.972400,412288,14466,29820,29820,0
grid79,2.368421,3.978650,2.857092,6.835742,453425,19276,40783,40783,0
grid65,4.448622,3.796265,8.639305,12.435570,441505,18056,37843,37843,0
grid91,3.884712,3.953036,1.889683,5.842719,459602,15266,31677,31677,0
grid78,4.197995,3.446944,4.629795,8.076739,378791,17793,37568,37568,0
grid96,2.862155,3.449208,0.999617,4.448825,391564,14266,29362,29362,0
grid92,1006.842105,3.692683,3.389817,7.082500,435192,18188,38434,38434,0
grid77,5007.621554,4.344873,5.666726,10.011599,513196,25809,55147,55147,0
grid89,8.365915,3.714095,4.367694,8.081789,445413,14366,30131,30131,0
grid73,31.563910,3.828680,7.186348,11.015028,440795,15559,32010,32010,0
grid93,1001.503759,4.542822,3.433798,7.976620,501838,21994,46659,46659,0
grid61,25.711779,3.703471,15.272007,18.975478,444539,17460,36477,36477,0
grid97,1003.771930,3.484073,3.598378,7.082451,407423,19132,40139,40139,0
grid95,3010.102757,3.793856,3.559623,7.353479,437765,17427,36617,36617,0
grid88,25.120301,3.648474,5.814251,9.462725,433184,15049,31289,31289,0
grid98,4014.060150,3.501654,4.259212,7.760866,405433,20798,43680,43680,0
grid75,8019.706767,3.983823,9.009438,12.993261,469548,24781,52249,52249,0
grid9,1.120301,3.667612,1.252043,4.919655,429083,15263,31448,31448,0
grid86,1011.162907,4.198641,7.805092,12.003733,496209,15219,31981,31981,0
metroplex0,6.436090,4.156962,2.174449,6.331411,485813,10643,37024,37024,0
grid99,1001.626566,3.715704,6.649541,10.365245,420959,25457,52190,52190,0
grid38,8033.751880,3.832334,27.011715,30.844049,456643,20018,42649,42649,0
metroplex14,1010.897243,4.035705,6.163499,10.199204,452887,14838,55210,55210,0
grid22,3028.175439,4.151291,35.082147,39.233438,490115,30641,62748,62748,0
grid94,1041.807018,3.814890,16.000138,19.815028,429179,21083,44489,44489,0
metroplex27,9.268170,4.272077,5.238911,9.510988,458508,11413,40496,40496,0
metroplex13,8.115288,4.105826,11.778297,15.884123,479174,14252,52367,52367,0
metroplex35,7.989975,4.015263,3.764650,7.779913,462147,10530,36504,36504,0
metroplex36,2006.726817,4.861900,3.510603,8.372503,542827,12144,43518,43518,0
metroplex29,1005.075188,4.803506,9.017383,13.820889,544263,16166,59695,59695,0
metroplex19,17.413534,3.993612,12.863625,16.857237,465732,12256,43991,43991,0
metroplex31,2012.263158,4.297234,9.168876,13.466110,501406,10832,38171,38171,0
metroplex32,1003.423559,4.234307,9.594829,13.829136,485760,18115,65598,65598,0
metroplex15,1003.601504,5.065623,14.407395,19.473018,587202,17861,66437,66437,0
grid80,27.721805,3.358967,27.895163,31.254130,391269,17013,35669,35669,0
metroplex2,30.528822,4.646360,11.308790,15.955150,534735,11793,41849,41849,0
metroplex28,1003.834586,5.076990,13.169077,18.246067,568145,17187,64431,64431,0
metroplex30,5020.345865,5.072521,16.414192,21.486713,579208,12926,47197,47197,0
grid83,8.776942,3.514209,38.294400,41.808609,408919,15873,33009,33009,0
metroplex44,3009.898269,3.926461,3.402747,7.329208,455999,10034,34209,34209,0
metroplex16,1005.060150,4.384284,27.843254,32.227538,506088,19143,70823,70823,0
metroplex49,+Inf,4.445862,0.153727,4.599589,516195,12004,43993,43993,0
metroplex48,6.887218,4.390926,5.097681,9.488607,443706,14959,56851,56851,0
metroplex17,5007.165414,4.405464,36.958405,41.363869,505457,20561,77780,77780,0
metroplex51,13.215539,4.451155,9.519543,13.970698,506869,11916,42194,42194,0
grid84,1014.273183,3.680280,55.651832,59.332112,437565,22777,48268,48268,0
metroplex42,1005.839599,5.127071,22.004719,27.131790,588801,15621,57256,57256,0
