instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport30,+Inf,0.381511,0.220127,0.601638,47280,7294,25943,25943,2
airport38,+Inf,0.325248,0.208070,0.533318,36708,10001,28819,28819,1
airport45,+Inf,0.532592,0.237675,0.770267,65781,6791,24635,24635,0
airport31,+Inf,0.614089,0.099665,0.713754,72845,9400,35416,35416,2
airport47,+Inf,0.325483,0.225809,0.551292,37479,7885,26367,26367,0
airport37,1.607547,0.746778,0.678453,1.425231,94184,8414,31209,31209,1
airport32,0.842105,0.499982,0.171750,0.671732,56845,5132,18265,18265,2
airport39,+Inf,0.754621,0.133899,0.888520,92949,12299,46566,46566,1
airport40,+Inf,0.353229,0.087335,0.440564,45780,6929,24203,24203,1
airport48,+Inf,0.415624,0.247481,0.663105,47714,9780,36329,36329,0
airport3,0.421053,0.767732,0.417157,1.184889,102323,7903,29397,29397,1
airport49,+Inf,0.534212,0.136514,0.670726,67086,8182,29812,29812,0
airport33,+Inf,0.653370,0.107889,0.761259,83026,9968,37675,37675,2
airport34,+Inf,0.419420,0.049374,0.468794,49765,5647,21845,21845,2
airport41,+Inf,0.449961,0.131850,0.581811,56391,7642,26587,26587,1
airport4,+Inf,0.426612,0.120595,0.547207,42745,7865,25601,25601,0
airport35,+Inf,0.775094,0.130485,0.905579,93588,11174,43505,43505,2
airport43,+Inf,0.307474,0.055200,0.362674,38817,6598,23881,23881,1
airport36,4.152882,0.768016,0.625743,1.393759,95832,9607,36865,36865,2
airport52,+Inf,0.536559,0.154013,0.690572,62674,7811,28181,28181,0
airport51,1.526316,0.787624,0.297423,1.085047,102510,7484,27782,27782,0
airport44,0.789474,0.610411,0.236887,0.847298,80450,6042,21599,21599,1
airport50,2.092732,0.459514,0.308802,0.768316,58365,6623,24269,24269,0
airport38,+Inf,0.325375,0.275254,0.600629,36738,10031,28856,28856,2
airport37,1.631579,0.754339,0.617157,1.371496,94216,8446,31255,31255,2
airport39,+Inf,0.751291,0.180475,0.931766,92991,12341,46623,46623,2
airport47,+Inf,0.328932,0.223531,0.552463,37507,7913,26405,26405,1
airport53,+Inf,0.766045,0.069079,0.835124,97629,7971,30385,30385,0
airport45,+Inf,0.529596,0.234475,0.764071,65807,6817,24672,24672,1
airport3,0.210526,0.838885,0.414737,1.253622,102353,7933,29442,29442,2
airport54,+Inf,0.672625,0.078197,0.750822,81014,9979,38062,38062,0
airport40,+Inf,0.353076,0.083699,0.436775,45810,6959,24246,24246,2
airport48,+Inf,0.412550,0.213421,0.625971,47742,9808,36367,36367,1
airport55,+Inf,0.677796,0.065560,0.743356,88915,6538,23631,23631,0
airport41,+Inf,0.450522,0.148849,0.599371,56421,7672,26628,26628,2
airport56,+Inf,0.427627,0.060124,0.487751,56721,5980,21282,21282,0
airport49,+Inf,0.535272,0.147641,0.682913,67114,8210,29850,29850,1
airport57,1.473684,0.583431,0.167693,0.751124,71946,5894,21318,21318,0
airport58,+Inf,0.348169,0.066305,0.414474,43357,6636,22870,22870,0
airport4,+Inf,0.366366,0.134388,0.500754,42767,7887,25628,25628,1
airport52,+Inf,0.484358,0.185138,0.669496,62700,7837,28216,28216,1
airport59,2.413995,0.357839,0.315071,0.672910,45219,5128,17646,17646,0
airport51,1.115176,0.784838,0.324330,1.109168,102544,7518,27833,27833,1
airport43,+Inf,0.300854,0.087812,0.388666,38847,6628,23922,23922,2
airport50,1.776942,0.456031,0.358483,0.814514,58395,6653,24314,24314,1
airport44,0.894737,0.688561,0.241967,0.930528,80480,6072,21644,21644,2
airport5,2.189025,0.514779,0.360524,0.875303,68123,5861,21535,21535,0
airport53,+Inf,0.768512,0.078039,0.846551,97659,8001,30430,30430,1
airport61,+Inf,0.489687,0.046957,0.536644,63982,5701,21203,21203,0
airport45,+Inf,0.533009,0.228465,0.761474,65839,6849,24718,24718,2
airport47,+Inf,0.328857,0.235911,0.564768,37535,7941,26443,26443,2
airport54,+Inf,0.668300,0.088447,0.756747,81042,10007,38100,38100,1
airport60,+Inf,0.468659,0.056751,0.525410,56845,7499,29104,29104,0
airport55,+Inf,0.677727,0.052595,0.730322,88947,6570,23679,23679,1
airport49,+Inf,0.535860,0.162452,0.698312,67144,8240,29891,29891,2
airport48,+Inf,0.414209,0.236800,0.651009,47772,9838,36408,36408,2
airport4,+Inf,0.364466,0.149698,0.514164,42789,7909,25655,25655,2
airport56,+Inf,0.432103,0.052821,0.484924,56755,6014,21333,21333,1
airport64,1.349042,0.333403,0.253465,0.586868,41613,6770,23687,23687,0
airport57,1.894737,0.582524,0.185704,0.768228,71982,5930,21372,21372,1
airport62,+Inf,0.795702,0.441158,1.236860,72306,17257,53869,53869,0
airport63,2.094756,0.634416,0.436516,1.070932,84169,6404,23111,23111,0
airport58,+Inf,0.351779,0.086412,0.438191,43385,6664,22910,22910,1
airport51,1.263158,0.790102,0.333414,1.123516,102578,7552,27884,27884,2
airport66,+Inf,0.825986,0.069150,0.895136,103560,7182,26126,26126,0
airport67,+Inf,0.312778,0.069482,0.382260,38167,6232,21037,21037,0
airport50,1.882206,0.454772,0.303684,0.758456,58425,6683,24359,24359,2
airport65,1.285714,0.521244,0.213040,0.734284,65051,6133,22719,22719,0
airport52,+Inf,0.591319,0.190048,0.781367,62728,7865,28254,28254,2
airport59,2.466627,0.355106,0.357270,0.712376,45247,5156,17686,17686,1
airport5,2.241657,0.517160,0.367312,0.884472,68153,5891,21580,21580,1
airport68,+Inf,0.402038,0.152080,0.554118,49570,9804,32180,32180,0
airport61,+Inf,0.490125,0.059435,0.549560,64012,5731,21248,21248,1
airport53,+Inf,0.815817,0.078890,0.894707,97693,8035,30481,30481,2
airport60,+Inf,0.464200,0.056917,0.521117,56879,7533,29155,29155,1
airport54,+Inf,0.675694,0.100219,0.775913,81068,10033,38135,38135,2
airport55,+Inf,0.741740,0.064152,0.805892,88979,6602,23727,23727,2
airport56,+Inf,0.435396,0.055093,0.490489,56791,6050,21387,21387,2
airport62,+Inf,0.651792,0.482085,1.133877,72338,17289,53911,53911,1
airport6,+Inf,0.748976,0.079575,0.828551,99489,10179,41560,41560,0
airport64,1.506937,0.337488,0.246027,0.583515,41641,6798,23729,23729,1
airport58,+Inf,0.348877,0.093608,0.442485,43413,6692,22950,22950,2
airport63,1.778966,0.631300,0.451355,1.082655,84193,6428,23147,23147,1
airport57,1.842105,0.652817,0.194972,0.847789,72020,5968,21429,21429,2
airport72,0.789474,0.282911,0.117137,0.400048,37675,3935,13772,13772,0
airport71,+Inf,0.655589,0.195513,0.851102,78254,10842,39575,39575,0
airport59,2.519259,0.356565,0.339668,0.696233,45277,5186,17729,17729,2
airport66,+Inf,0.832012,0.069740,0.901752,103598,7220,26183,26183,1
airport65,1.022556,0.513815,0.225607,0.739422,65087,6169,22773,22773,1
airport67,+Inf,0.313311,0.070284,0.383595,38197,6262,21082,21082,1
airport70,+Inf,0.610633,0.441234,1.051867,65780,17695,57020,57020,0
airport61,+Inf,0.487664,0.058920,0.546584,64046,5765,21299,21299,2
airport74,1.210526,0.412225,0.138922,0.551147,53188,4886,17090,17090,0
airport75,+Inf,0.670714,0.079679,0.750393,86655,8933,32795,32795,0
airport68,+Inf,0.405103,0.166969,0.572072,49606,9840,32230,32230,1
airport5,2.294288,0.516878,0.280785,0.797663,68183,5921,21625,21625,2
airport60,+Inf,0.467340,0.057114,0.524454,56917,7571,29212,29212,2
airport77,+Inf,0.494820,0.072621,0.567441,63458,7627,30330,30330,0
airport73,1.771652,0.598950,1.031635,1.630585,73711,7423,27399,27399,0
airport76,8.012270,0.729930,0.685409,1.415339,82371,9358,34767,34767,0
airport6,+Inf,0.746402,0.066976,0.813378,99523,10213,41609,41609,1
airport62,+Inf,0.649726,0.499044,1.148770,72370,17321,53953,53953,2
airport78,+Inf,0.282874,0.075179,0.358053,37713,6487,22860,22860,0
airport72,1.315789,0.314513,0.140818,0.455331,37703,3963,13814,13814,1
airport71,+Inf,0.652605,0.187775,0.840380,78278,10866,39605,39605,1
airport64,1.243779,0.334328,0.230487,0.564815,41669,6826,23771,23771,2
airport63,1.884229,0.633221,0.369503,1.002724,84219,6454,23186,23186,2
airport66,+Inf,0.821149,0.059279,0.880428,103636,7258,26240,26240,2
airport65,1.180451,0.514535,0.238505,0.753040,65123,6205,22827,22827,2
airport70,+Inf,0.618916,0.434626,1.053542,65812,17727,57060,57060,1
airport67,+Inf,0.313381,0.059703,0.373084,38225,6290,21124,21124,2
airport80,+Inf,0.490264,0.178455,0.668719,54341,10616,35787,35787,0
airport79,1.000000,0.789588,0.486912,1.276500,97532,8850,35184,35184,0
airport75,+Inf,0.673550,0.084375,0.757925,86689,8967,32842,32842,1
airport7,+Inf,0.740907,0.703256,1.444163,75138,11101,41762,41762,0
airport68,+Inf,0.403807,0.156020,0.559827,49642,9876,32280,32280,2
